dataset,algorithm,clusterer,feature,metric,seeds,n,mean,std
astro_ph,EgoNet-APM-W1,APM,W1,runtime_sec,1 2 3 4 5,5.0,5.016085999784991,0.07782633922302641
astro_ph,EgoNet-APM-W1,APM,W1,auc,1 2 3 4 5,5.0,0.974277,0.0038193254149129757
astro_ph,EgoNet-APM-W1,APM,W1,average_precision,1 2 3 4 5,5.0,0.9742081848152475,0.0038377645129578403
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_count,1 2 3 4 5,5.0,41974.0,34.40930106817051
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_mean_size,1 2 3 4 5,5.0,9.280330452782108,0.0069371023242492625
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_mean_density,1 2 3 4 5,5.0,0.8989027437272533,0.00021614147787133489
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_density_p10,1 2 3 4 5,5.0,0.6666666666666666,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_density_p25,1 2 3 4 5,5.0,0.8029457804627227,0.001808720653195503
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.21515511762796796,0.00030012714747545033
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.10412976076987622,0.0009678530769186171
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.39282778874780094,0.0011233493043369025
astro_ph,EgoNet-APM-W1,APM,W1,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.6183150183150183,0.0016381450384613785
astro_ph,EgoNet-APM-W2,APM,W2,runtime_sec,1 2 3 4 5,5.0,5.016085999784991,0.07782633922302641
astro_ph,EgoNet-APM-W2,APM,W2,auc,1 2 3 4 5,5.0,0.9743333,0.0038339565660033222
astro_ph,EgoNet-APM-W2,APM,W2,average_precision,1 2 3 4 5,5.0,0.9743229537444641,0.003860891757568869
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_count,1 2 3 4 5,5.0,41974.0,34.40930106817051
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_mean_size,1 2 3 4 5,5.0,9.280330452782108,0.0069371023242492625
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_mean_density,1 2 3 4 5,5.0,0.8989027437272533,0.00021614147787133489
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_density_p10,1 2 3 4 5,5.0,0.6666666666666666,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_density_p25,1 2 3 4 5,5.0,0.8029457804627227,0.001808720653195503
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.21515511762796796,0.00030012714747545033
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.10412976076987622,0.0009678530769186171
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.39282778874780094,0.0011233493043369025
astro_ph,EgoNet-APM-W2,APM,W2,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.6183150183150183,0.0016381450384613785
astro_ph,EgoNet-APM-W3,APM,W3,runtime_sec,1 2 3 4 5,5.0,5.016085999784991,0.07782633922302641
astro_ph,EgoNet-APM-W3,APM,W3,auc,1 2 3 4 5,5.0,0.9737493,0.003816250591221697
astro_ph,EgoNet-APM-W3,APM,W3,average_precision,1 2 3 4 5,5.0,0.9736835116104973,0.003849706061035522
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_count,1 2 3 4 5,5.0,41974.0,34.40930106817051
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_mean_size,1 2 3 4 5,5.0,9.280330452782108,0.0069371023242492625
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_mean_density,1 2 3 4 5,5.0,0.8989027437272533,0.00021614147787133489
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_density_p10,1 2 3 4 5,5.0,0.6666666666666666,0.0
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_density_p25,1 2 3 4 5,5.0,0.8029457804627227,0.001808720653195503
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.21515511762796796,0.00030012714747545033
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.10412976076987622,0.0009678530769186171
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.39282778874780094,0.0011233493043369025
astro_ph,EgoNet-APM-W3,APM,W3,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.6183150183150183,0.0016381450384613785
astro_ph,EgoNet-APM-W4,APM,W4,runtime_sec,1 2 3 4 5,5.0,5.016085999784991,0.07782633922302641
astro_ph,EgoNet-APM-W4,APM,W4,auc,1 2 3 4 5,5.0,0.9743176,0.003814953495784729
astro_ph,EgoNet-APM-W4,APM,W4,average_precision,1 2 3 4 5,5.0,0.9743089226814651,0.0038376294147824796
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_count,1 2 3 4 5,5.0,41974.0,34.40930106817051
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_mean_size,1 2 3 4 5,5.0,9.280330452782108,0.0069371023242492625
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_mean_density,1 2 3 4 5,5.0,0.8989027437272533,0.00021614147787133489
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_density_p10,1 2 3 4 5,5.0,0.6666666666666666,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_density_p25,1 2 3 4 5,5.0,0.8029457804627227,0.001808720653195503
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.21515511762796796,0.00030012714747545033
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.10412976076987622,0.0009678530769186171
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.39282778874780094,0.0011233493043369025
astro_ph,EgoNet-APM-W4,APM,W4,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.6183150183150183,0.0016381450384613785
astro_ph,EgoNet-CC-W1,CC,W1,runtime_sec,1 2 3 4 5,5.0,2.4347507166676223,0.03846895575495743
astro_ph,EgoNet-CC-W1,CC,W1,auc,1 2 3 4 5,5.0,0.9856966,0.0021621611410808585
astro_ph,EgoNet-CC-W1,CC,W1,average_precision,1 2 3 4 5,5.0,0.9856207980534838,0.0022391328564303607
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_count,1 2 3 4 5,5.0,22139.8,9.20326029187483
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_mean_size,1 2 3 4 5,5.0,17.594578199974727,0.005770079476949564
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_mean_density,1 2 3 4 5,5.0,0.793334084855492,0.00023400319600955195
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_density_p10,1 2 3 4 5,5.0,0.31915860772421717,0.00034087198695277723
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_density_p25,1 2 3 4 5,5.0,0.5847130832430939,0.0016169344554723458
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,runtime_sec,1 2 3 4 5,5.0,2.4347507166676223,0.03846895575495743
astro_ph,EgoNet-CC-W2,CC,W2,auc,1 2 3 4 5,5.0,0.9860142000000001,0.002116039626282999
astro_ph,EgoNet-CC-W2,CC,W2,average_precision,1 2 3 4 5,5.0,0.986219563614741,0.0021707558898499666
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_count,1 2 3 4 5,5.0,22139.8,9.20326029187483
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_mean_size,1 2 3 4 5,5.0,17.594578199974727,0.005770079476949564
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_mean_density,1 2 3 4 5,5.0,0.793334084855492,0.00023400319600955195
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_density_p10,1 2 3 4 5,5.0,0.31915860772421717,0.00034087198695277723
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_density_p25,1 2 3 4 5,5.0,0.5847130832430939,0.0016169344554723458
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,runtime_sec,1 2 3 4 5,5.0,2.4347507166676223,0.03846895575495743
astro_ph,EgoNet-CC-W3,CC,W3,auc,1 2 3 4 5,5.0,0.9827144999999999,0.00265051098846998
astro_ph,EgoNet-CC-W3,CC,W3,average_precision,1 2 3 4 5,5.0,0.982581436562309,0.0026833524942369248
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_count,1 2 3 4 5,5.0,22139.8,9.20326029187483
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_mean_size,1 2 3 4 5,5.0,17.594578199974727,0.005770079476949564
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_mean_density,1 2 3 4 5,5.0,0.793334084855492,0.00023400319600955195
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_density_p10,1 2 3 4 5,5.0,0.31915860772421717,0.00034087198695277723
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_density_p25,1 2 3 4 5,5.0,0.5847130832430939,0.0016169344554723458
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,runtime_sec,1 2 3 4 5,5.0,2.4347507166676223,0.03846895575495743
astro_ph,EgoNet-CC-W4,CC,W4,auc,1 2 3 4 5,5.0,0.9856076,0.0020712641791910745
astro_ph,EgoNet-CC-W4,CC,W4,average_precision,1 2 3 4 5,5.0,0.9857800183942375,0.002119341258460531
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_count,1 2 3 4 5,5.0,22139.8,9.20326029187483
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_mean_size,1 2 3 4 5,5.0,17.594578199974727,0.005770079476949564
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_mean_density,1 2 3 4 5,5.0,0.793334084855492,0.00023400319600955195
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_density_p10,1 2 3 4 5,5.0,0.31915860772421717,0.00034087198695277723
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_density_p25,1 2 3 4 5,5.0,0.5847130832430939,0.0016169344554723458
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_density_p50,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_density_p75,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_density_p90,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_conductance_p75,1 2 3 4 5,5.0,0.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,ego_cluster_conductance_p90,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,runtime_sec,1 2 3 4 5,5.0,1.5983566166367382,0.1406612199306917
astro_ph,Louvain,global,community_common_neighbors,modularity,1 2 3 4 5,5.0,0.627340861791609,0.001368150908317294
astro_ph,Louvain,global,community_common_neighbors,coverage,1 2 3 4 5,5.0,0.691607206292819,0.004088180690710114
astro_ph,Louvain,global,community_common_neighbors,mean_density,1 2 3 4 5,5.0,0.8584322175542202,0.0035141740708010995
astro_ph,Louvain,global,community_common_neighbors,mean_conductance,1 2 3 4 5,5.0,0.026065432975198123,0.0016719398684095093
astro_ph,Louvain,global,community_common_neighbors,auc,1 2 3 4 5,5.0,0.9816448999999999,0.0018347898517268866
astro_ph,Louvain,global,community_common_neighbors,average_precision,1 2 3 4 5,5.0,0.9792950627897433,0.0020052046551699465
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_count,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_mean_size,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_mean_density,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_density_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_density_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_density_p50,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_density_p75,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_density_p90,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_mean_conductance,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_conductance_p10,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_conductance_p25,1 2 3 4 5,5.0,0.0,0.0
astro_ph,Louvain,global,community_common_neighbors,ego_cluster_conductance_p50,1 2 3 4 5,5.0,0.0,0.0
