dataset,algorithm,clusterer,feature,k,metric,seeds,n,mean,std
astro_ph,EgoNet-APM-W1,APM,W1,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,EgoNet-APM-W1,APM,W1,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,EgoNet-APM-W1,APM,W1,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
astro_ph,EgoNet-APM-W1,APM,W1,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
astro_ph,EgoNet-APM-W1,APM,W1,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W1,APM,W1,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
astro_ph,EgoNet-APM-W1,APM,W1,500.0,precision,1 2 3 4 5,5.0,0.9996,0.0008944271909999167
astro_ph,EgoNet-APM-W1,APM,W1,500.0,recall,1 2 3 4 5,5.0,0.4998,0.00044721359549995833
astro_ph,EgoNet-APM-W1,APM,W1,1000.0,precision,1 2 3 4 5,5.0,0.9516,0.007092249290598864
astro_ph,EgoNet-APM-W1,APM,W1,1000.0,recall,1 2 3 4 5,5.0,0.9516,0.007092249290598864
astro_ph,EgoNet-APM-W2,APM,W2,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,EgoNet-APM-W2,APM,W2,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,EgoNet-APM-W2,APM,W2,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
astro_ph,EgoNet-APM-W2,APM,W2,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
astro_ph,EgoNet-APM-W2,APM,W2,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
astro_ph,EgoNet-APM-W2,APM,W2,500.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W2,APM,W2,500.0,recall,1 2 3 4 5,5.0,0.5,0.0
astro_ph,EgoNet-APM-W2,APM,W2,1000.0,precision,1 2 3 4 5,5.0,0.9516,0.007092249290598864
astro_ph,EgoNet-APM-W2,APM,W2,1000.0,recall,1 2 3 4 5,5.0,0.9516,0.007092249290598864
astro_ph,EgoNet-APM-W3,APM,W3,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,EgoNet-APM-W3,APM,W3,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,EgoNet-APM-W3,APM,W3,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
astro_ph,EgoNet-APM-W3,APM,W3,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
astro_ph,EgoNet-APM-W3,APM,W3,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W3,APM,W3,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
astro_ph,EgoNet-APM-W3,APM,W3,500.0,precision,1 2 3 4 5,5.0,0.9996,0.0008944271909999167
astro_ph,EgoNet-APM-W3,APM,W3,500.0,recall,1 2 3 4 5,5.0,0.4998,0.00044721359549995833
astro_ph,EgoNet-APM-W3,APM,W3,1000.0,precision,1 2 3 4 5,5.0,0.9506,0.006985699678629199
astro_ph,EgoNet-APM-W3,APM,W3,1000.0,recall,1 2 3 4 5,5.0,0.9506,0.006985699678629199
astro_ph,EgoNet-APM-W4,APM,W4,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,EgoNet-APM-W4,APM,W4,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,EgoNet-APM-W4,APM,W4,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
astro_ph,EgoNet-APM-W4,APM,W4,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
astro_ph,EgoNet-APM-W4,APM,W4,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
astro_ph,EgoNet-APM-W4,APM,W4,500.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-APM-W4,APM,W4,500.0,recall,1 2 3 4 5,5.0,0.5,0.0
astro_ph,EgoNet-APM-W4,APM,W4,1000.0,precision,1 2 3 4 5,5.0,0.9516,0.007092249290598864
astro_ph,EgoNet-APM-W4,APM,W4,1000.0,recall,1 2 3 4 5,5.0,0.9516,0.007092249290598864
astro_ph,EgoNet-CC-W1,CC,W1,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,EgoNet-CC-W1,CC,W1,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,EgoNet-CC-W1,CC,W1,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
astro_ph,EgoNet-CC-W1,CC,W1,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
astro_ph,EgoNet-CC-W1,CC,W1,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W1,CC,W1,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
astro_ph,EgoNet-CC-W1,CC,W1,500.0,precision,1 2 3 4 5,5.0,0.9992,0.0010954451150103333
astro_ph,EgoNet-CC-W1,CC,W1,500.0,recall,1 2 3 4 5,5.0,0.4996,0.0005477225575051667
astro_ph,EgoNet-CC-W1,CC,W1,1000.0,precision,1 2 3 4 5,5.0,0.9732,0.0035637059362410954
astro_ph,EgoNet-CC-W1,CC,W1,1000.0,recall,1 2 3 4 5,5.0,0.9732,0.0035637059362410954
astro_ph,EgoNet-CC-W2,CC,W2,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,EgoNet-CC-W2,CC,W2,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,EgoNet-CC-W2,CC,W2,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
astro_ph,EgoNet-CC-W2,CC,W2,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
astro_ph,EgoNet-CC-W2,CC,W2,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W2,CC,W2,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
astro_ph,EgoNet-CC-W2,CC,W2,500.0,precision,1 2 3 4 5,5.0,0.9996,0.0008944271909999167
astro_ph,EgoNet-CC-W2,CC,W2,500.0,recall,1 2 3 4 5,5.0,0.4998,0.00044721359549995833
astro_ph,EgoNet-CC-W2,CC,W2,1000.0,precision,1 2 3 4 5,5.0,0.9733999999999999,0.0037815340802378108
astro_ph,EgoNet-CC-W2,CC,W2,1000.0,recall,1 2 3 4 5,5.0,0.9733999999999999,0.0037815340802378108
astro_ph,EgoNet-CC-W3,CC,W3,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,EgoNet-CC-W3,CC,W3,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,EgoNet-CC-W3,CC,W3,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
astro_ph,EgoNet-CC-W3,CC,W3,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
astro_ph,EgoNet-CC-W3,CC,W3,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W3,CC,W3,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
astro_ph,EgoNet-CC-W3,CC,W3,500.0,precision,1 2 3 4 5,5.0,0.9992,0.0010954451150103333
astro_ph,EgoNet-CC-W3,CC,W3,500.0,recall,1 2 3 4 5,5.0,0.4996,0.0005477225575051667
astro_ph,EgoNet-CC-W3,CC,W3,1000.0,precision,1 2 3 4 5,5.0,0.9682,0.0052153619241621235
astro_ph,EgoNet-CC-W3,CC,W3,1000.0,recall,1 2 3 4 5,5.0,0.9682,0.0052153619241621235
astro_ph,EgoNet-CC-W4,CC,W4,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,EgoNet-CC-W4,CC,W4,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,EgoNet-CC-W4,CC,W4,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
astro_ph,EgoNet-CC-W4,CC,W4,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
astro_ph,EgoNet-CC-W4,CC,W4,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
astro_ph,EgoNet-CC-W4,CC,W4,500.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,EgoNet-CC-W4,CC,W4,500.0,recall,1 2 3 4 5,5.0,0.5,0.0
astro_ph,EgoNet-CC-W4,CC,W4,1000.0,precision,1 2 3 4 5,5.0,0.9726,0.003130495168499708
astro_ph,EgoNet-CC-W4,CC,W4,1000.0,recall,1 2 3 4 5,5.0,0.9726,0.003130495168499708
astro_ph,Louvain,global,community_common_neighbors,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,Louvain,global,community_common_neighbors,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
astro_ph,Louvain,global,community_common_neighbors,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,Louvain,global,community_common_neighbors,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
astro_ph,Louvain,global,community_common_neighbors,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,Louvain,global,community_common_neighbors,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
astro_ph,Louvain,global,community_common_neighbors,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,Louvain,global,community_common_neighbors,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
astro_ph,Louvain,global,community_common_neighbors,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
astro_ph,Louvain,global,community_common_neighbors,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
astro_ph,Louvain,global,community_common_neighbors,500.0,precision,1 2 3 4 5,5.0,0.9996,0.0008944271909999167
astro_ph,Louvain,global,community_common_neighbors,500.0,recall,1 2 3 4 5,5.0,0.4998,0.00044721359549995833
astro_ph,Louvain,global,community_common_neighbors,1000.0,precision,1 2 3 4 5,5.0,0.9483999999999999,0.004505552130427528
astro_ph,Louvain,global,community_common_neighbors,1000.0,recall,1 2 3 4 5,5.0,0.9483999999999999,0.004505552130427528
enron,EgoNet-APM-W1,APM,W1,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W1,APM,W1,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
enron,EgoNet-APM-W1,APM,W1,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W1,APM,W1,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
enron,EgoNet-APM-W1,APM,W1,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W1,APM,W1,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
enron,EgoNet-APM-W1,APM,W1,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W1,APM,W1,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
enron,EgoNet-APM-W1,APM,W1,200.0,precision,1 2 3 4 5,5.0,0.999,0.0022360679774997916
enron,EgoNet-APM-W1,APM,W1,200.0,recall,1 2 3 4 5,5.0,0.1998,0.00044721359549995833
enron,EgoNet-APM-W1,APM,W1,500.0,precision,1 2 3 4 5,5.0,0.9996,0.0008944271909999167
enron,EgoNet-APM-W1,APM,W1,500.0,recall,1 2 3 4 5,5.0,0.4998,0.00044721359549995833
enron,EgoNet-APM-W1,APM,W1,1000.0,precision,1 2 3 4 5,5.0,0.8862,0.007014271166700079
enron,EgoNet-APM-W1,APM,W1,1000.0,recall,1 2 3 4 5,5.0,0.8862,0.007014271166700079
enron,EgoNet-APM-W2,APM,W2,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W2,APM,W2,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
enron,EgoNet-APM-W2,APM,W2,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W2,APM,W2,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
enron,EgoNet-APM-W2,APM,W2,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W2,APM,W2,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
enron,EgoNet-APM-W2,APM,W2,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W2,APM,W2,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
enron,EgoNet-APM-W2,APM,W2,200.0,precision,1 2 3 4 5,5.0,0.999,0.0022360679774997916
enron,EgoNet-APM-W2,APM,W2,200.0,recall,1 2 3 4 5,5.0,0.1998,0.00044721359549995833
enron,EgoNet-APM-W2,APM,W2,500.0,precision,1 2 3 4 5,5.0,0.9996,0.0008944271909999167
enron,EgoNet-APM-W2,APM,W2,500.0,recall,1 2 3 4 5,5.0,0.4998,0.00044721359549995833
enron,EgoNet-APM-W2,APM,W2,1000.0,precision,1 2 3 4 5,5.0,0.8862,0.007014271166700079
enron,EgoNet-APM-W2,APM,W2,1000.0,recall,1 2 3 4 5,5.0,0.8862,0.007014271166700079
enron,EgoNet-APM-W3,APM,W3,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W3,APM,W3,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
enron,EgoNet-APM-W3,APM,W3,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W3,APM,W3,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
enron,EgoNet-APM-W3,APM,W3,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W3,APM,W3,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
enron,EgoNet-APM-W3,APM,W3,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W3,APM,W3,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
enron,EgoNet-APM-W3,APM,W3,200.0,precision,1 2 3 4 5,5.0,0.999,0.0022360679774997916
enron,EgoNet-APM-W3,APM,W3,200.0,recall,1 2 3 4 5,5.0,0.1998,0.00044721359549995833
enron,EgoNet-APM-W3,APM,W3,500.0,precision,1 2 3 4 5,5.0,0.9996,0.0008944271909999167
enron,EgoNet-APM-W3,APM,W3,500.0,recall,1 2 3 4 5,5.0,0.4998,0.00044721359549995833
enron,EgoNet-APM-W3,APM,W3,1000.0,precision,1 2 3 4 5,5.0,0.8852,0.007529940238806687
enron,EgoNet-APM-W3,APM,W3,1000.0,recall,1 2 3 4 5,5.0,0.8852,0.007529940238806687
enron,EgoNet-APM-W4,APM,W4,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W4,APM,W4,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
enron,EgoNet-APM-W4,APM,W4,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W4,APM,W4,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
enron,EgoNet-APM-W4,APM,W4,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W4,APM,W4,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
enron,EgoNet-APM-W4,APM,W4,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-APM-W4,APM,W4,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
enron,EgoNet-APM-W4,APM,W4,200.0,precision,1 2 3 4 5,5.0,0.999,0.0022360679774997916
enron,EgoNet-APM-W4,APM,W4,200.0,recall,1 2 3 4 5,5.0,0.1998,0.00044721359549995833
enron,EgoNet-APM-W4,APM,W4,500.0,precision,1 2 3 4 5,5.0,0.9996,0.0008944271909999167
enron,EgoNet-APM-W4,APM,W4,500.0,recall,1 2 3 4 5,5.0,0.4998,0.00044721359549995833
enron,EgoNet-APM-W4,APM,W4,1000.0,precision,1 2 3 4 5,5.0,0.8862,0.007014271166700079
enron,EgoNet-APM-W4,APM,W4,1000.0,recall,1 2 3 4 5,5.0,0.8862,0.007014271166700079
enron,EgoNet-CC-W1,CC,W1,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-CC-W1,CC,W1,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
enron,EgoNet-CC-W1,CC,W1,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-CC-W1,CC,W1,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
enron,EgoNet-CC-W1,CC,W1,50.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-CC-W1,CC,W1,50.0,recall,1 2 3 4 5,5.0,0.05,0.0
enron,EgoNet-CC-W1,CC,W1,100.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-CC-W1,CC,W1,100.0,recall,1 2 3 4 5,5.0,0.1,0.0
enron,EgoNet-CC-W1,CC,W1,200.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-CC-W1,CC,W1,200.0,recall,1 2 3 4 5,5.0,0.2,0.0
enron,EgoNet-CC-W1,CC,W1,500.0,precision,1 2 3 4 5,5.0,0.9996,0.0008944271909999167
enron,EgoNet-CC-W1,CC,W1,500.0,recall,1 2 3 4 5,5.0,0.4998,0.00044721359549995833
enron,EgoNet-CC-W1,CC,W1,1000.0,precision,1 2 3 4 5,5.0,0.9633999999999999,0.0053197744313081595
enron,EgoNet-CC-W1,CC,W1,1000.0,recall,1 2 3 4 5,5.0,0.9633999999999999,0.0053197744313081595
enron,EgoNet-CC-W2,CC,W2,10.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-CC-W2,CC,W2,10.0,recall,1 2 3 4 5,5.0,0.01,0.0
enron,EgoNet-CC-W2,CC,W2,20.0,precision,1 2 3 4 5,5.0,1.0,0.0
enron,EgoNet-CC-W2,CC,W2,20.0,recall,1 2 3 4 5,5.0,0.02,0.0
